Nazwa,ECTS,Tryb,Kryteria,kategorie
Etyka i zwierzęta pozaludzkie,3.0,,"Na finalną ocenę składają się:
(1) AKTYWNOŚĆ – przygotowanie do zajęć oraz aktywny, konstruktywny udział w dyskusjach i pracach na zajęciach – 50 %
(2) REFERAT – przygotowanie i wygłoszenie referatu – 25%
(3) KRÓTKA PISEMNA ANALIZA PROBLEMU z zakresu tematyki seminarium – 25%
Obecność będzie sprawdzana na każdych zajęciach. Dopuszczalne są dwie (2) nieobecności w semestrze. Każda „nadmiarowa” nieobecność będzie skutkować obniżeniem oceny końcowej o jeden pełny stopień. Uzyskanie oceny bardzo dobrej (5) będzie wymagać od studentki/studenta systematycznej aktywności na zajęciach, przygotowania bardzo dobrej prezentacji ustnej i pracy pisemnej, ujawniających dogłębne zrozumienie omawianych pojęć, problemów oraz zasad etycznych, a także posiadanie umiejętności identyfikowania, analizowania i dokonywania etycznej oceny dylematów związanych z praktykami stosowanymi wobec zwierząt pozaludzkich.
Prowadząca zastrzega sobie możliwość wystawienia oceny celującej najlepszej osobie w grupie, jeśli ta będzie równocześnie spełniać kryteria konieczne uzyskania oceny bardzo dobrej.
Skala ocen:
100-90% - 5,0; 89-85% - 4,5; 84-75% - 4,0; 74-70% - 3,5; 69-60% - 3,0; 59-0% - 2,0
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Inne
"Filozofia człowieka, filozofia Boga w późnej twórczości Fiodora Dostojewskiego",2.0,,"praca zaliczeniowa
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Filozofia i religia
Filozofia dialogu międzyreligijnego: wielość perspektyw,3.0,,"W celu zaliczenia seminarium uczestnicy będą zobowiązani czytać omawiane teksty, uczestniczyć w dyskusji, wygłosić referat lub koreferat, a ponadto napisać krótką pracę semestralną.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Filozofia i religia
Filozofia języka,4.0,,"Wykład zakończy się sprawdzianem pisemnym sprawdzającym nabytą wiedzę. Sprawdzian będzie miał formę testową i będzie składał się z pytań dotyczących wszystkich poruszanych tematów. 
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Filozofia i religia
Filozofia kultury,4.0,,"Podstawą oceny będzie esej na wybrany temat związany z problematyką wykładu. Brana pod uwagę będzie również aktywność w dyskusjach prowadzonych w trakcie wykładu.
Ocenie podlegać będą w szczególności: znajomość metod badawczych i strategii argumentacyjnych stosowanych w filozofii kultury; pogłębiona znajomość terminologii stosowanej w filozofii kultury i umiejętność prawidłowego jej zastosowania; umiejętność samodzielnej i krytycznej analizy tekstu filozoficznego; umiejętność krytycznej analizy filozoficznych teorii, identyfikacji ich głównych założeń, tez oraz implikacji; umiejętność konstruowania hipotez oraz krytycznej argumentacji w oparciu o zdobytą w trakcie kursu wiedzę; umiejętność krytycznej analizy porównawczej różnych koncepcji filozoficznych.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Filozofia i religia
Filozofia muzyki,6.0,,"Aby zaliczyć przedmiot należy:
- aktywnie uczestniczyć w zajęciach;
- przygotować przynajmniej jeden referat na temat uzgodniony z prowadzącą;
- przygotować 1-2 sprawozdania z zajęć.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Filozofia i religia
Filozofia nauki,4.0,,"Warunkiem koniecznym zaliczenia wykładu jest obecność. Osoby chcące uzyskać ocenę dostateczną (3,0) są zobowiązane do przygotowania pisemnego streszczenia lektury wskazanej przez prowadzącego. Uzyskanie wyższej oceny wymaga, oprócz obecności, napisania pracy pisemnej na uzgodniony z prowadzącym temat należący do zakresu problemowego wykładu.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 4 w ciągu roku akademickiego",Filozofia i religia
Filozofia polityki,4.0,,"Króki esej lub sprawdzian ustny - 85%
Aktywność w trakcie wykładu 15%.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Filozofia i religia
Filozoficzne problemy nauk prawnych – idee,2.0,,"Zaliczenie na ocenę. Podstawowy wymóg stanowi obecność. Warunkiem zaliczenia zajęć jest uzyskanie oceny co najmniej dostatecznej z ustnego kolokwium lub krótkiej (od 3 do 5 ss. zestandaryzowanego maszynopisu) pracy pisemnej na temat uzgodniony z prowadzącymi zajęcia. Wybór między formą ustną i pisemną należy do uczestników zajęć. Wyboru należy dokonać najpóźniej podczas przedostatnich zajęć.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Inne
Filozofia religii,4.0,,"Pisemna praca zaliczeniowa.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Filozofia i religia
Filozofia starożytna,2.0,,"sprawdzian ustny 
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Filozofia i religia
Filozofia umysłu,4.0,,"pisemny sprawdzian końcowy
Dopuszczalna liczba nieobecności: 2 w semestrze",Filozofia i religia
Historia filozofii nowożytnej I (wykład monograficzny),2.0,,"sprawdzian ustny
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Historia i archeologia
Historia filozofii polskiej I,2.0,,"Ocena na podstawie pracy pisemnej (esej), dotyczącej wybranego zagadnienia lub autora, omawianego na wykładzie.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Historia i archeologia
Political and Legal Philosophy,3.0,,"Sprawdzian pisemny
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu:2",Inne
Recent Polish Philosophy,2.0,w sali,"Istnieją dwa sposoby zaliczenia zajęć: 
1. zaliczenie 3 krótkich testów w trakcie semestru i przygotowanie 3 podsumowań wybranych prac członków Szkoły Lwowsko-Warszawskiej;
2. zaliczenie pisemnego testu końcowego pod koniec semestru
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Inne
Krzywda i cierpienie jako kategoria etyczna,3.0,,"aktywność,
wygłoszenie referatu/prezentacji na  zajęciach.
Liczba dopuszczalnych nieobecności podlegających usprawiedliwieniu: 2",Inne
Translatorium filozoficzne łacińskie,6.0,,"Przygotowanie do zajęć (słownictwo, wstępne tłumaczenie), obecność, systematyczne zapisywanie i dopracowywanie przekładów w dokumencie google po zajęciach.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Inne
Michel Foucault w Collège de France,6.0,,"Zajęcia będą zaliczane na ocenę na podstawie referatów lub esejów. Referaty powinny w sposób pogłębiony i w oparciu o dodatkowe źródła przedstawiać problematykę omawianą na poszczególnych spotkaniach. Eseje powinny zawierać przemyślane, spójne i kompetentne rozwinięcie wybranych aspektów problematyki, której dotyczy kurs. 
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Inne
"Miejsce człowieka w świecie. Wybrane problemy filozoficzne w tradycjach starożytnej Grecji, Indii i Chin",6.0,,"udział w dyskusjach, praca pisemna lub referat
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Inne
Moralność potoczna starożytnych Greków. Wybrane problemy,3.0,,"-aktywność (dyskusje)
-referat
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Inne
Translatorium filozoficzne niemieckie,6.0,,"Podstawą oceny będzie (1) jakość pracy w ciągu roku i postępy w zakresie filozoficznego języka niemieckiego i umiejętności tłumaczenia; (2) praca zaliczeniowa w postaci samodzielnego tłumaczenia wybranego przez studenta lub zaproponowanego przez wykładowcę fragmentu jakiegoś nietłumaczonego dotąd tekstu filozoficznego.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Inne
New World Order? A Philosophical Approach to International Relations,6.0,,"The criteria of assessment: 
- activity (discussion in class, participation etc.) - 40%
- preparing introduction or workshops – 40%
- creating report from texts and discussion – 20%
Number of absences: 2 in a semester",Inne
Procreative ethics,3.0,,"The final grade will be based on the following:
(1) ATTENDANCE AND PARTICIPATION. Insightful participation in seminar discussions and group work that demonstrates knowledge of the terminology, problems, precepts, and arguments discussed, as well as familiarity with the assigned readings. This accounts for 40% of the grade. 
(2) AN ORAL PRESENTATION on a seminar topic selected from the provided list. The presentation should demonstrate the student’s knowledge of the topic and her analytical and argumentative skills, as well as her ability to deliver an effective oral presentation in English. This accounts for 30% of the grade. 
(3) A SHORT WRITTEN ASSIGNMENT (critical analysis of an article or a case analysis), prepared in accordance with the instructions to be provided by the end of November. This accounts for 30% of the grade. 
A grade of 5 requires consistent and insightful participation in seminar discussions that draw upon readings and personal experiences. Students will also be expected to give excellent oral presentations and produce written work that demonstrates their mastery of the discussed cases, terminology, precepts, and principles.
Final grades will be assigned according to the following percentages:
100-90% – 5,0; 89-85% – 4,5; 84-75% – 4,0; 74-70% – 3,5; 69-60% – 3,0; 59-0% – 2,0
For PhD students:
The final grade will be based on the following:
(1) ATTENDANCE AND PARTICIPATION: Insightful participation in seminar discussions and group work that demonstrates knowledge of the terminology, problems, precepts, and arguments discussed, as well as familiarity with the assigned readings. This accounts for 40% of the grade.
(2) AN ORAL PRESENTATION on a seminar topic selected from the provided list. The presentation should demonstrate the student’s knowledge of the topic and her analytical and argumentative skills, as well as her ability to deliver an effective oral presentation in English. This accounts for 20% of the grade.
(3) AN ARGUMENTATIVE ESSAY on a seminar topic, prepared in accordance with the instructions to be provided by the end of November. This accounts for 40% of the grade. 
Attendance will be monitored weekly. Two absences are permitted per semester.",Inne
Philosophie und Kritik – seminarium filozoficzne po niemiecku,6.0,,"Zaliczenie na ocenę na podstawie własnego przekładu fragmentu tekstu niemieckojęzycznego (jednego z omawianych podczas zajęć lub ustalonego z prowadzącym; możliwe zaliczenie jako translatorium) [PPT] lub krótkiego eseju w języku niemieckim [E] na jeden z omawianych podczas zajęć tematów. Tłumaczenie powinno być wykonane samodzielnie i świadczyć o znajomości niemieckiej pojęciowości filozoficznej. Esej powinien świadczyć o znajomości niemieckiej pojęciowości filozoficznej, jednej z tradycji filozoficznych rozwijanych w niemieckim obszarze językowym i zawierać własne stanowisko autora wobec omawianego zagadnienia. Prowadzący zajęcia bierze pod uwagę aktywność uczestników podczas seminarium [A].
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Inne
Wybrane problemy estetyki nowoczesności,6.0,,"Praca studentów w ramach seminarium będzie oceniana na podstawie obecności, jakości wygłoszonego referatu i aktywności na zajęciach. Warunki uzyskania poszczególnych ocen:
- (dst): umiarkowana aktywność
-(dst +): umiarkowana aktywność, referat oceniony na ocenę dostateczną
- (db): częsta aktywność, referat oceniony na ocenę dobrą
- (db+): częsta aktywność , referat oceniony na dobry +
- (bdb): częsta aktywność  oraz bardzo dobry referat
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Inne
"Polish Philosophy of 19th Century. Romanticism, Its Antecedents and Descendents",2.0,,"Written (or oral) exam or an essay – depending on the student’s choice.
Number of absences: 2",Inne
Philosophy and Social Sciences,3.0,,"Presentations and active participation in reflection and discussion are required. Students who wish to improve their grade may write a paper of up to 2,000 words after prior consultation.
Number of absences: 2",Inne
"Równowagi, instytucje, fałszywe przekonania. Konwersatorium z filozofii ekonomii",2.0,,"Praca zaliczeniowa
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2",Inne
"Religion, Logic and Artificial Intelligence",2.0,,"The assessment of participants’ learning outcomes will be based on (alternatively, not exclusively):
- presentation of participants’ own projects (concerning testing chatbots’ skills with respect to religious discourse and logic), OR
- handwritten short essays or other kinds of written works, OR 
- oral presentation of questions, arguments and answers to counterarguments, OR
- written test, OR
- oral test.
Number of absences: 2",Inne
"Romantyzm, rewolucja, Schelling – polska filozofia spekulatywna u progu Wiosny Ludów (V)",6.0,,"Ocena zostanie wystawiona na podstawie aktywności podczas zajęć oraz przygotowanego referatu lub pracy zaliczeniowej na temat związany z problematyką seminarium i ustalony z prowadzącymi.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze.",Filozofia i religia
A Short History of Self-Consciousness: from Antiquity to Early Modernity,4.0,,"Written exam
Number of absences: 2 in a semester",Inne
Sign-Language-Reality,3.0,zdalnie,"Prerequisites for passing the seminar are:
1] Regular attendance,
2] Delivering a presentation or commentary, or delivering a written paper on a previously agreed topic.
Number of absences: 2 during the entire academic year",Inne
Sokrates i Mesjasz - temat samopoznania w myśli patrystycznej i średniowiecznej,4.0,,"Uczestnictwo w zajęciach; rozmowa sprawdzająca znajomość przedstawianej podczas wykładów problematyki
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Inne
Sprawiedliwość wobec ekosystemów,6.0,,"- aktywność w czasie zajęć (w tym obecność, znajomość zadanej literatury, udział w dyskusjach) – 50%;
- przygotowanie pracy seminaryjnej – 50%.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Inne
Kurs na Równość - przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu.",Równość i prawa człowieka
Armia rzymska - najskuteczniejsza machina wojenna starożytności?,3.0,zdalnie,"Zaliczenie na ocenę na podstawie:
- aktywności na zajęciach, przygotowanie i zaangażowanie w dyskusję nad omawianymi tematami (50% udziału w ocenie końcowej)
- wyników końcowego egzaminu przeprowadzonego w formie ustnej (50% udziału w ocenie końcowej).",Inne
Digitizing the past. Advanced methods for documenting the cultural heritage,3.0,zdalnie,Grade on the basis of a final oral examination (100% contribution to the final grade).,Inne
Rzymska architektura obronna w okresie pryncypatu (I-III wiek n.e.) – teichologia oraz poliorketyka,3.0,,"Zaliczenie na ocenę na podstawie:
- aktywności na zajęciach, przygotowanie i zaangażowanie w dyskusję nad omawianymi tematami (50% udziału w ocenie końcowej)
- wyników końcowego egzaminu przeprowadzonego w formie ustnej (50% udziału w ocenie końcowej).",Inne
Podstawy wnioskowania statystycznego dla humanistów z elementami R,6.0,mieszany: w sali i zdalnie,"W trakcie realizacji przedmiotu studentowi zadawane są prace do wykonania poza godzinami zorganizowanymi. Oceniane będzie terminowe przedłożenie rozwiązań, poprawność uzyskanych wyników i sposób poradzenia sobie z problemem. Stopień zrozumienia wykonanych działań oceniona zostanie w indywidualnej rozmowie. Ponadto, przy ocenie końcowej brana będzie pod uwagę aktywność studenta na zajęciach.",Inne
